Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2015,2016,2017
SLV,El Salvador,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,31.7,49,
SLV,El Salvador,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,96,76
SRB,Serbia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,55.9,73,
SRB,Serbia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,52,41
SVK,Slovak Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,68.2,82,
SVK,Slovak Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,31,30
SVN,Slovenia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,71.9,87,
SVN,Slovenia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,28,25
SWE,Sweden,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,81.4,94.6,
SWE,Sweden,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,13,7
SWZ,Swaziland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,26.8,29,
SWZ,Swaziland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,106,114
SYR,Syrian Arab Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,,21,
SYR,Syrian Arab Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,,127
TCD,Chad,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,,6,
TCD,Chad,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,,143
TGO,Togo,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,18.4,32,
TGO,Togo,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,120,111
THA,Thailand,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,47.2,68,
THA,Thailand,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,69,49
TTO,Trinidad and Tobago,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,47.5,,
TTO,Trinidad and Tobago,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,67,
TUN,Tunisia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,44.5,47,
TUN,Tunisia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,73,79
TUR,Turkey,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,56.5,62,
TUR,Turkey,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,49,60
TZA,Tanzania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,26.5,27,
TZA,Tanzania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,107,119
UGA,Uganda,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,29.7,43,
UGA,Uganda,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,102,86
UKR,Ukraine,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,54.6,60,
UKR,Ukraine,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,54,63
URY,Uruguay,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,62.6,59,
URY,Uruguay,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,39,67
USA,United States,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,82.6,87,
USA,United States,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,11,26
UZB,Uzbekistan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,26.1,35,
UZB,Uzbekistan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,108,106
VEN,"Venezuela, RB",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,32.8,,
VEN,"Venezuela, RB",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,94,
VNM,Vietnam,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,43.1,50,
VNM,Vietnam,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,75,74
ZAF,South Africa,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,50.3,54,
ZAF,South Africa,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,61,72
ZMB,Zambia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,22.8,24,
