id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
223,Sweden,Linköping,Europe,"Linkoping municipal exchange",http://www.tekniskaverken.se/tekniskaverken/foretag/bredband/index.html,Planned,20021000,0,58.41686,15.60234,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
224,Sweden,Luleå,Europe,PolarIX,http://www.polarix.se/intro/index.asp,Unknown,20020900,0,65.58000,22.15000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
226,Sweden,Malmö,Europe,"Netnod Malmö",http://www.netnod.se,Defunct,20000000,0,55.57000,13.07000,0,0,0,0,0.000000,No,2014-02-26,,,,,,,http://www.netnod.se/connected.shtml,No,,383
232,Switzerland,Zurich,Europe,MAE-Zurich,,Defunct,0,0,47.48000,8.53000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
233,Switzerland,Zurich,Europe,"Swiss Internet Exchange",,Defunct,0,0,47.48000,8.53000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
235,Switzerland,Zurich,Europe,"Telehouse Internet Exchange",http://www.tix.ch/,Unknown,19990000,0,47.48000,8.53000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
240,Taiwan,Taipei,Asia-Pacific,TaiwanEP,,Unknown,0,0,25.03000,121.52000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
241,Taiwan,Taipei,Asia-Pacific,,,Unknown,0,0,25.03000,121.52000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
243,Australia,Hobart,Asia-Pacific,"Tasmanian Internet Exchange",http://www.tia.asn.au/,Defunct,0,0,-42.83000,147.48000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
245,Thailand,Bangkok,Asia-Pacific,NECTEC-IIR,,"Not an exchange",19970000,0,13.92000,100.60000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
246,Thailand,Bangkok,Asia-Pacific,"ThaiSarn Public Internet Exchange",http://ntl.nectec.or.th/pie/,Unknown,0,0,13.92000,100.60000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
247,Turkey,Istanbul,Europe,"Turkish Internet Exchange",https://www.turk-ix.com/,Defunct,19970000,0,40.97000,28.82000,0,0,0,0,0.000000,No,2019-06-10,,,,,,,https://www.turk-ix.com/members.html,No,,383
250,Ukraine,Kiev,Europe,"Ukrtelecom Internet Exchange",http://en.ukrtelecom.ua/services/operators_providers/traffic,"Not an exchange",0,0,50.40000,30.45000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
251,"United Arab Emirates","Abu Dhabi",Europe,"Emirates Internet Exchange",http://www.emix.ae,"Not an exchange",0,0,24.43000,54.65000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,383
