Indicator,Country,2000_value,2000_notes,2000_source,2001_value,2001_notes,2001_source,2002_value,2002_notes,2002_source,2003_value,2003_notes,2003_source,2004_value,2004_notes,2004_source,2005_value,2005_notes,2005_source,2006_value,2006_notes,2006_source,2007_value,2007_notes,2007_source,2008_value,2008_notes,2008_source,2009_value,2009_notes,2009_source,2010_value,2010_notes,2010_source,2011_value,2011_notes,2011_source,2012_value,2012_notes,2012_source,2013_value,2013_notes,2013_source,2014_value,2014_notes,2014_source,2015_value,2015_notes,2015_source,2016_value,2016_notes,2016_source,2017_value,2017_notes,2017_source,2018_value,2018_notes,2018_source,2019_value,2019_notes,2019_source,data_country,data_year
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Bolivia (Plurinational State of),582620,,Superintendencia de Telecomunicaciones.,779917,,Superintendencia de Telecomunicaciones.,1023333,,Superintendencia de Telecomunicaciones.,1278844,,Superintendencia de Telecomunicaciones.,1800789,,Superintendencia de Telecomunicaciones.,2421402,,Superintendencia de Telecomunicaciones.,2876143,,Superintendencia de Telecomunicaciones.,3254410,,Superintendencia de Telecomunicaciones.,5038600,,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,6464390,,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,7179293,,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,8353273,Activity criteria: voice or data communication in the last month.,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,9493207,Activity criteria: voice or data communication in the last month.,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,10425704,Activity criteria: voice or data communication in the last month.,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,10450341,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,10162829,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,10106216,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,10963224,,ATT - AUtoridad de Regulacion y Fiscalizacion de Telecomunicaciones y Transportes,11445830,,ATT - AUtoridad de Regulacion y Fiscalizacion de Telecomunicaciones y Transportes,11688830,,ATT - AUtoridad de Regulacion y Fiscalizacion de Telecomunicaciones y Transportes,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Bosnia and Herzegovina,93386,,,444711,,,748780,,,1074790,,,1407441,,,1594367,,,1887820,,,2450425,,Communications Regulatory Agency B & H.,3179036,,Communications Regulatory Agency B & H.,3257239,,Communications Regulatory Agency B & H.,3110233,,Communications Regulatory Agency B & H,3171283,,Communications Regulatory Agency B & H,3357541,,Communications Regulatory Agency B & H,3488319,,Communications Regulatory Agency B & H,3491188,,Communications Regulatory Agency B & H,3443520,,Communications Regulatory Agency B & H,3404043,,Communications Regulatory Agency,3440085,,Communications Regulatory Agency,3461058,,Communications Regulatory Agency,3755521,,Communications Regulatory Agency,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Botswana,222190,,Botswana Telecommunication Corporation.,332264,,Botswana Telecommunication Corporation.,332264,,Botswana Telecommunication Corporation.,444978,,Botswana Telecommunications Authority (BTA).,522840,,Botswana Telecommunications Authority (BTA).,563782,,Botswana Telecommunications Authority (BTA).,823070,,Botswana Telecommunications Authority (BTA).,1151761,,Botswana Telecommunications Authority (BTA).,1485791,,Botswana Telecommunications Authority (BTA).,1874101,,Botswana Telecommunications Authority (BTA).,2363411,,Botswana Telecommunications Authority,2900263,,Botswana Telecommunications Authority,3081726,December 2012 figure,Botswana Telecommunications Authority,3246787,Dec-13,Botswana Communications Regulatory Authority (BOCRA),3410507,,Botswana Communications Regulatory Authority (BOCRA),3475327,,Botswana Communications Regulatory Authority (BOCRA),3288986,,Botswana Communications Regulatory Authority (BOCRA),3240589,,Botswana Communications Regulatory Authority (BOCRA),3381228,,Botswana Communications Regulatory Authority (BOCRA),3746760,,Botswana Communications Regulatory Authority (BOCRA),,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Brazil,23188171,,,28745769,,,34880964,,,46373266,,,65605000,,,86210336,,,99918621,,,120980103,,Anatel.,150641403,,Anatel.,169385584,,Agência Nacional de Telecomunicaçőes,196929978,,Agência Nacional de Telecomunicaçőes,234357507,,Agência Nacional de Telecomunicaçőes,248323703,,Agência Nacional de Telecomunicaçőes,271099799,,Agência Nacional de Telecomunicaçőes,280728796,,Agência Nacional de Telecomunicaçőes,257814274,,Agência Nacional de Telecomunicaçőes,244067356,,National Telecommunication Agency - Anatel,221269215,,National Telecommunication Agency - Anatel,209410048,,National Telecommunication Agency - Anatel,202009290,,National Telecommunication Agency - Anatel,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,British Virgin Islands,,,,,,,8000,,Caribbean Telecommunications Union.,,,,,,,,,,,,,20700,,Cable and Wireless Plc. (C&W).,23000,,Cable and Wireless Plc. (C&W).,47031,,Telecommunications Regulatory Commission,47524,,Telecommunications Regulatory Commission,46597,,Telecommunications Regulatory Commission,48703,,Telecommunications Regulatory Commission,53406,Estimate.,Telecommunications Regulatory Commission,54764,Telecommunications Regulatory Commission,Telecommunications Regulatory Commission,57195,Telecommunications Regulatory Commission,ITU estimate.,39689,Based on 2 operators not 3,Telecommunications Regulatory Commission,44043,Based on 2 operators not 3,TRC,39954,Based on 2 operators not 3,TRC,,,TRC,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Brunei Darussalam,95000,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,143004,,Jabatan Telekom Brunei (JTB). Ministry of Communications.,153647,,AiTi.,177365,,AiTi.,202454,,AiTi.,232900,,AiTi.,301400,,AiTi.,366138,,AiTi.,398857,,AiTi.,412882,,AITI estimate,435104,,Authority for Info-communications Technology Industry of Brunei Darussalam,443161,,Authority for Info-communications Technology Industry of Brunei Darussalam,469740,,Authority for Info-communications Technology Industry of Brunei Darussalam,468814,,Authority for Info-communications Technology Industry of Brunei Darussalam,452054,Break in comparability: previous year data refer to total number of configured sim instead of active subscriptions.,Authority for Info-communications Technology Industry of Brunei Darussalam,463384,,Authority for Info-communications Technology Industry of Brunei Darussalam,523453,,Authority for Info-communications Technology Industry of Brunei Darussalam,544732,,Authority for Info-communications Technology Industry of Brunei Darussalam,565949,,Authority for Info-communications Technology Industry of Brunei Darussalam,574799,,Authority for Info-communications Technology Industry of Brunei Darussalam,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Bulgaria,738000,,Bulgarian Telecommunications Company Ltd.,1550000,,Bulgarian Telecommunications Company Ltd.,2597548,,Communications Regulation Commission.,3500869,,Communications Regulation Commission.,4729731,,Communications Regulation Commission.,6244922,,Communications Regulation Commission.,8253416,,Communications Regulation Commission.,9897477,,Communications Regulation Commission.,10429012,,Communications Regulation Commission,10454822,,Communications Regulation Commission,10199942,,Communications Regulation Commission,10475083,,Communications Regulation Commission,10780732,,Communications Regulation Commission,10486824,Incl. all mobile-cellular subscriptions that offer voice communications; but excludes mobile data subscriptions (via data cards; USB modems and M2M cards),Communications Regulation Commission,9486927,Incl. all mobile-cellular subscriptions that offer voice communications; but excludes mobile data subscriptions (via data cards; USB modems and M2M cards),Communications Regulation Commission,9194633,,Communications Regulation Commission,8973869,,Communications Regulation Commission,8532908,,Communications Regulation Commission,8387160,,Communications Regulation Commission,8134581,Includes all mobile cellular subscriptions that offer voice communications; but excludes mobile data subscriptions (via data cards; USB modems and M2M cards),Communications Regulation Commission,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Burkina Faso,25245,,Office National des Télécommunications (ONATEL).,76186,,Office National des Télécommunications (ONATEL).,111013,,Office National des Télécommunications (ONATEL).,238094,,Office National des Télécommunications (ONATEL).,395939,,Office National des Télécommunications (ONATEL).,633554,,Office National des Télécommunications (ONATEL).,1016605,,Office National des Télécommunications (ONATEL).,1858038,,Autorité de Régulation des Télécommunications Électroniques (ARCE),3024150,,Autorité de Régulation des Télécommunications Électroniques (ARCE),3823625,,Autorité de Régulation des Télécommunications Électroniques (ARCE),5707850,,Autorité de Régulation des Communications Électroniques (ARCE),7682100,,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),9976105,,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),11240886,,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),12494391,,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),14446897,,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),15404040,,Autorité de régulation des communications,17946375,,Autorité de régulation des communications,19339109,,Autorité de régulation des communications,20364508,,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Burundi,16320,,Office National des Télécommunications (ONATEL).,33416,,ITU estimate.,52000,,Agence de Régulation et de Contrôle des Télécommunications.,64000,,Agence de Régulation et de Contrôle des Télécommunications.,100560,,Agence de Régulation et de Contrôle des Télécommunications.,153000,,Agence de Régulation et de Contrôle des Télécommunications.,200000,,ITU estimate.,270000,,Telegeography.,480584,,Agence de Régulation et de Contrôle des Télécommunications.,920749,,Agence de Régulation et de Contrôle des Télécommunications.,1678029,,ITU estimate.,1914586,,ITU estimate.,2247126,,Agence de Régulation et de Contrôle des Télécommunications,2536831,,Agence de Régulation et de Contrôle des Télécommunications,3193257,,Agence de Régulation et de Contrôle des Télécommunications,4997696,,Agence de Régulation et de Contrôle des Télécommunications,5357816,,AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS,5920612,Agence de Régulation et de Contrôle des Télécommunications,AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS,6317965,,AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS,6532039,AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS,AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Cabo Verde,19729,,Cabo Verde Telecom.,31507,,Cabo Verde Telecom.,42949,,Cabo Verde Telecom.,53342,,Cabo Verde Telecom.,65780,,Instituto das Comunicações e das Tecnologias de Informação.,81721,,Instituto das Comunicações e das Tecnologias de Informação.,108858,,Instituto das Comunicações e das Tecnologias de Informação.,152212,,ITU estimate.,277670,,Agencia Nacional das Comunicaçoes.,290621,,ANAC - Agência Nacional das Comunicações,371871,,Agencia Nacional das Comunicaçoes,396429,,Agencia Nacional das Comunicaçoes,425310,,Agencia Nacional das Comunicaçoes,499458,,ANAC,613378,,Agencia Nacional das Comunicaçoes,611468,,Agencia Nacional das Comunicaçoes,601956,,Agência Reguladora Multissetorial da Economia - ARME,612259,,Agência Reguladora Multissectorial da Economia,610328,,Agência Reguladora Multissectorial da Economia,595681,,Agência Reguladora Multissectorial da Economia,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Cambodia,130547,,,223458,,,380000,,,498388,,,861500,,,1062000,,,1721650,,,2583318,,Ministry of Post and Telecommunications (MPTC).,4237000,,Ministry of Post and Telecommunications (MPTC).,6268000,,MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC),8150764,,Ministry of Posts and Telecommunications,13757000,,Ministry of Posts and Telecommunications,19105115,,Ministry of Posts and Telecommunications,20264514,,Ministry of Posts and Telecommunications,20451982,,Telecommunication Regulator of Cambodia (TRC),20850543,,Telecommunication Regulator of Cambodia (TRC),19915503,Decrease was due to enforcement on simcards that have no Identity document.,Telecommunication Regulator of Cambodia,18572973,Decrease was due to enforcement on sim cards that have no Identity document and new regulation on numbering fee,Telecommunication Regulator of Cambodia,19417123,All operators evenly shared a part in this 1 million increase in subs.,Telecommunication Regulator of Cambodia,21418681,increasing demand of subs. in Province,Telecommunication Regulator of Cambodia,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Cameroon,103279,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,417295,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,701507,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,1077000,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,1530868,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,2252508,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,3135946,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,4536000,,ITU estimate.,6160893,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,8004120,,Agence de Régulation des Statistiques,8636652,,Agence de Régulation des Télécommunications,10486614,,Agence de Régulation des Télécommunications,13108058,,Agence de Régulation des Télécommunications,15664666,,Agence de Régulation des Télécommunications,17039059,,Agence de Régulation des Télécommunications,18160667,Sept.,Agence de Régulation des Télécommunications,18717503,Dec-16,Agence de Régulation des Télécommunications  Cameroun,20135388,,Agence de Régulation des Télécommunications  Cameroun,18455836,,Agence de Régulation des Télécommunications  Cameroun,21400736,Le nombre d'abonnement du mobile a subi un léger changement à cause de l'actualisation des données par certains opérateurs du 1er janvier au 31 décembre 2019. les données antérieurs ont fait l'objet d'une mise à jour auprès des opérateurs,Agence de Régulation des Télécommunications  Cameroun,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Canada,8727000,,Statistics Canada.,10649000,,Statistics Canada.,11872000,,Statistics Canada.,13291000,,Statistics Canada.,15020000,,CWTA.,17016600,,CWTA.,18749100,,Statistics Canada.,20277400,,Statistics Canada.,22092500,,Statistics Canada.,23811900,,Canadian Radio-television Telecommunications Commission,25825400,,Canadian Radio-television and Telecommunications Commission,26840000,revised figures reflect the number of retail subscribers.,Canadian Radio-television and Telecommunications Commission,27720000,revised figures reflect the number of retail subscribers.,Canadian Radio-television and Telecommunications Commission,28360000,,Canadian Radio-television and Telecommunications Commission,28789000,,Canadian Radio-television and Telecommunications Commission,29765000,,Canadian Radio-television and Telecommunications Commission,30752000,These figures are based on quarterly data and will be revised in the long form survey with annual data.,Canadian Radio-television and Telecommunications Comission,31693000,,Canadian Radio-television and Telecommunications Comission,33211000,,Canadian Radio-television and Telecommunications Comission,34366950,Annual data not yet available. The data is based on our quarterly survey. The quarterly survey collects data from approximately 20 largest communications companies in Canada. Subscriber figure was reduced by 500;000 to estimate the impact of a large carrier's change in subscriber reporting definition. Final 2019 figures are subject to change.;,Canadian Radio-television and Telecommunications Comission,,
