ISO alpha-3,Country,Region,Year,Index,Authorisation,Consumer Protection,KYC,Transaction Limits,Agent Network,Infrastructure and Investment environment,Eligibility,Authorisation Instruments,Capital Requirements,International Remittances,Safeguarding of Funds,Consumer Protection Rules,Deposit Insurance,Permitted Identifications,KYC Requirements,KYC Proportionality,Entry-level transaction limits,Entry-level monthly limits,Entry-level balance limits,Maximum transaction limits,Maximum monthly limits,Maximum balance limits,Agent Eligibility,Agent Authorisation,Agent Activities,Agent Liability,Affordability,ID Verification Infrastructure,Interoperability,Settlement Access,Interest Payments,Financial Inclusion Strategy,Data Sovereignty,Gender Equality,data_country,data_year
COL,Colombia,Latin America and the Caribbean,2019,89.45,100.00,100.00,92.00,55.56,94.00,88.13,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,30.00,75.00,,,,
COL,Colombia,Latin America and the Caribbean,2020,89.45,100.00,100.00,92.00,55.56,94.00,88.13,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,30.00,75.00,,,,
COL,Colombia,Latin America and the Caribbean,2021,89.45,100.00,100.00,92.00,55.56,94.00,88.13,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,30.00,75.00,,,,
COG,Congo,Sub-Saharan Africa,2018,72.90,84.00,64.00,32.00,100.00,90.00,60.00,60.00,100.00,100.00,100.00,100.00,60.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,30.00,0.00,,,,
COG,Congo,Sub-Saharan Africa,2019,74.27,100.00,80.00,32.00,100.00,94.00,22.50,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,0.00,0.00,100.00,0.00,30.00,0.00,,,,
COG,Congo,Sub-Saharan Africa,2020,76.15,100.00,80.00,32.00,100.00,94.00,35.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,0.00,0.00,100.00,100.00,30.00,0.00,,,,
COG,Congo,Sub-Saharan Africa,2021,76.15,100.00,80.00,32.00,100.00,94.00,35.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,0.00,0.00,100.00,100.00,30.00,0.00,,,,
COD,"Congo, Democratic Republic",Sub-Saharan Africa,2018,84.79,90.00,72.00,92.00,100.00,100.00,51.30,100.00,100.00,50.00,100.00,100.00,80.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,33.00,100.00,,
COD,"Congo, Democratic Republic",Sub-Saharan Africa,2019,84.79,90.00,72.00,92.00,100.00,100.00,51.30,100.00,100.00,50.00,100.00,100.00,80.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,33.00,100.00,,
COD,"Congo, Democratic Republic",Sub-Saharan Africa,2020,85.99,90.00,80.00,92.00,100.00,100.00,51.30,100.00,100.00,50.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,33.00,100.00,,
